surveyId,latitude,longitude,speciesId,GBIF_species_id,GBIF_species_name,GBIF_genus_name,GBIF_family_name,GBIF_kingdom_name,subset
3580978,43.519427,3.796463,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
3580978,43.519427,3.796463,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
3580978,43.519427,3.796463,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,test
3901881,43.519427,3.796463,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
4064325,43.520398,3.896501,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
4064325,43.520398,3.896501,1,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
4134724,43.520398,3.896501,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
4134724,43.520398,3.896501,1,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
4134724,43.520398,3.896501,1,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
5224976,43.520398,3.896501,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
5533266,43.519427,3.796463,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
5550555,43.520398,3.896501,1,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
5598953,43.520398,3.896501,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
5598953,43.520398,3.896501,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,test
5598953,43.520398,3.896501,1,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
5598953,43.520398,3.896501,1,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
6357930,43.519427,3.796463,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
6766051,43.520398,3.896501,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,test
6975824,43.520398,3.896501,4,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,test
6975824,43.520398,3.896501,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,test
3253231,43.526398,3.866501,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,train
3410559,43.6113,3.8707,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
3571309,43.621662,3.887787,3,8794742,Orchis purpurea,Orchis,Orchidaceae,Plantae,train
4011303,43.621662,3.887787,3,8794742,Orchis purpurea,Orchis,Orchidaceae,Plantae,train
4031517,43.661663,3.788910,1,2792998,Ophrys apifera,Ophrys,Orchidaceae,Plantae,train
4032075,43.552778,3.941345,4,5324951,Himantoglossum hircinum,Himantoglossum,Orchidaceae,Plantae,train
4169158,43.6113,3.8707,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
4840931,43.661663,3.788910,1,2792998,Ophrys apifera,Ophrys,Orchidaceae,Plantae,train
4975392,43.621662,3.887787,3,8794742,Orchis purpurea,Orchis,Orchidaceae,Plantae,train
5162158,43.661663,3.788910,1,2792998,Ophrys apifera,Ophrys,Orchidaceae,Plantae,train
5217083,43.552778,3.941345,4,5324951,Himantoglossum hircinum,Himantoglossum,Orchidaceae,Plantae,train
5295725,43.526398,3.866501,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,train
5362196,43.6113,3.8707,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
5470192,43.6113,3.8707,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
5652465,43.526398,3.866501,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,train
5690462,43.526398,3.866501,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,train
5737392,43.483567,3.806076,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
5808292,43.552778,3.941345,4,5324951,Himantoglossum hircinum,Himantoglossum,Orchidaceae,Plantae,train
5863209,43.483567,3.806076,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
6293843,43.552778,3.941345,4,5324951,Himantoglossum hircinum,Himantoglossum,Orchidaceae,Plantae,train
6521659,43.661663,3.788910,1,2792998,Ophrys apifera,Ophrys,Orchidaceae,Plantae,train
6592021,43.483567,3.806076,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
6749721,43.621662,3.887787,3,8794742,Orchis purpurea,Orchis,Orchidaceae,Plantae,train
6808612,43.483567,3.806076,2,2927230,Stachys byzantina,Stachys,Lamiaceae,Plantae,train
3078801,43.528140,3.941345,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,val
3282064,43.700148,3.956451,1,2792998,Ophrys apifera,Ophrys,Orchidaceae,Plantae,val
3441895,43.528140,3.941345,3,8794742,Orchis purpurea,Orchis,Orchidaceae,Plantae,val
3581101,43.528140,3.941345,3,8794742,Orchis purpurea,Orchis,Orchidaceae,Plantae,val
3746095,43.700148,3.956451,1,2792998,Ophrys apifera,Ophrys,Orchidaceae,Plantae,val
3949929,43.528140,3.941345,3,8794742,Orchis purpurea,Orchis,Orchidaceae,Plantae,val
4875595,43.528140,3.941345,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,val
5163843,43.528140,3.941345,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,val
5905201,43.700148,3.956451,1,2792998,Ophrys apifera,Ophrys,Orchidaceae,Plantae,val
6023406,43.528140,3.941345,0,2927190,Mentha suaveolens,Mentha,Lamiaceae,Plantae,val
6254164,43.528140,3.941345,3,8794742,Orchis purpurea,Orchis,Orchidaceae,Plantae,val
6920543,43.700148,3.956451,1,2792998,Ophrys apifera,Ophrys,Orchidaceae,Plantae,val
